Year,Month,Time,Sales,logSales,c348,s348,c432,s432
2018,7,319,56720,10.945882161,0.9971589003,0.0753268055,0.3564118787,-0.934328942
2018,8,320,57015,10.95106967,-0.63742399,0.7705132428,0.0627905195,0.9980267284
2018,9,321,54910,10.91345076,-0.260841506,-0.965381639,-0.470703932,-0.882291226
2018,10,322,56019,10.933446198,0.9387338577,0.3446429232,0.7939903986,0.6079302977
2018,11,323,56647,10.944594308,-0.823532598,0.5672689491,-0.974526873,-0.224270761
2018,12,324,59177,10.988288232,0.0125660399,-0.999921044,0.9798550524,-0.199709981
2019,1,325,57184,10.954029418,0.8090169944,0.5877852523,-0.809016994,0.5877852523
2019,2,326,51284,10.845134092,-0.947098305,0.3209436098,0.4927273415,-0.870183755
2019,3,327,57216,10.954588859,0.2850192625,-0.958521789,-0.087851197,0.9961336091
2019,4,328,56053,10.934052951,0.6178596131,0.7862884321,-0.332819545,-0.942990536
2019,5,329,59656,10.996350009,-0.998736957,0.0502443182,0.6936533058,0.7203090249
2019,6,330,57791,10.964588333,0.535826795,-0.844327926,-0.929776486,-0.368124553
2019,7,331,59460,10.993059097,0.3797790955,0.9250772068,0.9987369566,-0.050244318
2019,8,332,59954,11.00133288,-0.974526873,-0.224270761,-0.888136449,0.4595798606
2019,9,333,56083,10.934588015,0.7459411454,-0.666011867,0.6178596131,-0.786288432
2019,10,334,58172,10.971159418,0.1128563849,0.9936113105,-0.236498997,0.9716317329
2019,11,335,59224,10.989082144,-0.87630668,-0.481753674,-0.187381315,-0.982287251
2019,12,336,60938,11.017612233,0.8994052516,-0.437115767,0.5775727034,0.8163392507
2020,1,337,58722,10.980569723,-0.162637165,0.9866859442,-0.863923417,-0.503623202
2020,2,338,55870,10.930782842,-0.711535677,-0.70264997,0.994951017,0.1003617149
2020,3,339,73901,11.210481639,0.9845643345,-0.175023059,-0.947098305,0.3209436098
2020,4,340,64383,11.072604902,-0.425779292,0.9048270525,0.7289686274,-0.684547106
2020,5,341,68436,11.133654281,-0.492727342,-0.870183755,-0.379779096,0.9250772068
2020,6,342,63973,11.066216398,0.994951017,0.1003617149,-0.037690183,-0.999289473
2020,7,343,66892,11.110834658,-0.656585756,0.7542513807,0.4483832161,0.8938414242
2020,8,344,64500,11.074420503,-0.236498997,-0.971631733,-0.778462302,-0.627691361
2020,9,345,62100,11.036501268,0.9297764859,0.3681245527,0.9685831611,0.2486898872
2020,10,346,64017,11.066903952,-0.83752804,0.5463943467,-0.984564335,0.175023059
2020,11,347,63920,11.06538758,0.0376901827,-0.999289473,0.8235325976,-0.567268949
2020,12,348,67027,11.112850802,0.7939903986,0.6079302977,-0.514439534,0.8575266562
2021,1,349,64785,11.078829374,-0.954864545,0.2970415816,0.1128563849,-0.993611311
2021,2,350,59018,10.985597761,0.3090169944,-0.951056516,0.3090169944,0.9510565163
2021,3,351,64734,11.078041845,0.5979049831,0.8015669849,-0.675332808,-0.737513117
2021,4,352,63749,11.062708777,-0.999684189,0.0251300954,0.9202318474,0.3913736668
2021,5,353,68015,11.127483548,0.5568756165,-0.830595899,-0.999684189,0.0251300954
2021,6,354,66531,11.105423283,0.3564118787,0.9343289425,0.8994052516,-0.437115767
2021,7,355,68923,11.140745218,-0.968583161,-0.248689887,-0.63742399,0.7705132428
2021,8,356,68259,11.131064572,0.762442511,-0.647055962,0.2608415063,-0.965381639
2021,9,357,66939,11.111537036,0.0878511966,0.9961336091,0.1626371652,0.9866859442
2021,10,358,69523,11.149412912,-0.863923417,-0.503623202,-0.556875616,-0.830595899
2021,11,359,68981,11.141586383,0.9101059707,-0.414375581,0.8509944818,0.52517463
2021,12,360,72982,11.197968114,-0.187381315,0.9822872507,-0.992114701,-0.125333234
