Date,Year,Weekday,Travelers,logTravelers,Time
8/28/2019,2019,4,2188688,14.598812836,181
8/29/2019,2019,5,2561109,14.755950926,182
8/30/2019,2019,6,2658558,14.793294429,183
8/31/2019,2019,7,1954902,14.485850622,184
9/1/2019,2019,1,1887845,14.450946525,185
9/2/2019,2019,2,2278159,14.638878219,186
9/3/2019,2019,3,2037750,14.527356816,187
9/4/2019,2019,4,1889044,14.451581439,188
9/5/2019,2019,5,2109858,14.562131205,189
9/6/2019,2019,6,2198828,14.603435049,190
9/7/2019,2019,7,1755502,14.378265414,191
9/8/2019,2019,1,2370003,14.678401779,192
9/9/2019,2019,2,2292985,14.64536502,193
9/10/2019,2019,3,1943379,14.479938769,194
9/11/2019,2019,4,2005867,14.511586944,195
9/12/2019,2019,5,2449302,14.711313644,196
9/13/2019,2019,6,2484025,14.725390786,197
9/14/2019,2019,7,1879822,14.446687649,198
9/15/2019,2019,1,2485134,14.72583714,199
9/16/2019,2019,2,2405832,14.693406348,200
9/17/2019,2019,3,2013050,14.515161543,201
9/18/2019,2019,4,2146857,14.57951547,202
9/19/2019,2019,5,2455410,14.713804311,203
9/20/2019,2019,6,2571924,14.760164815,204
9/21/2019,2019,7,1938402,14.47737448,205
9/22/2019,2019,1,2517826,14.738906389,206
9/23/2019,2019,2,2431388,14.703972846,207
9/24/2019,2019,3,2033490,14.525264087,208
9/25/2019,2019,4,2188236,14.598606298,209
9/26/2019,2019,5,2510926,14.736162167,210
9/27/2019,2019,6,2547611,14.750666615,211
9/28/2019,2019,7,1966234,14.491630596,212
9/29/2019,2019,1,2452596,14.712657613,213
9/30/2019,2019,2,2368818,14.677901655,214
10/1/2019,2019,3,1998980,14.508147608,215
10/2/2019,2019,4,2082179,14.548925499,216
10/3/2019,2019,5,2447687,14.710654055,217
10/4/2019,2019,6,2526835,14.742478089,218
10/5/2019,2019,7,1921185,14.468452741,219
10/6/2019,2019,1,2542118,14.74850815,220
10/7/2019,2019,2,2400153,14.691043043,221
10/8/2019,2019,3,2035628,14.526314929,222
10/9/2019,2019,4,2215233,14.610868148,223
10/10/2019,2019,5,2605291,14.773054935,224
10/11/2019,2019,6,2688032,14.804319885,225
10/12/2019,2019,7,2074718,14.545335799,226
10/13/2019,2019,1,2555333,14.753693106,227
10/14/2019,2019,2,2616771,14.777451673,228
10/15/2019,2019,3,2313632,14.654329142,229
10/16/2019,2019,4,2317763,14.656113054,230
10/17/2019,2019,5,2581007,14.763690191,231
10/18/2019,2019,6,2637667,14.785405372,232
10/19/2019,2019,7,2049855,14.533279617,233
10/20/2019,2019,1,2606266,14.773429104,234
10/21/2019,2019,2,2514673,14.737653333,235
10/22/2019,2019,3,2126637,14.570052417,236
10/23/2019,2019,4,2245199,14.624304717,237
10/24/2019,2019,5,2541581,14.748296886,238
10/25/2019,2019,6,2594337,14.768841551,239
10/26/2019,2019,7,1931971,14.474051283,240
10/27/2019,2019,1,2478287,14.723078154,241
10/28/2019,2019,2,2347017,14.668655718,242
10/29/2019,2019,3,1910506,14.462878686,243
10/30/2019,2019,4,2066516,14.541374655,244
10/31/2019,2019,5,2047910,14.532330319,245
11/1/2019,2019,6,2319906,14.657037226,246
11/2/2019,2019,7,1836781,14.423525141,247
11/3/2019,2019,1,2459525,14.7154788,248
11/4/2019,2019,2,2403304,14.692355015,249
11/5/2019,2019,3,2005101,14.511204992,250
11/6/2019,2019,4,2147882,14.579992798,251
11/7/2019,2019,5,2507365,14.734742959,252
11/8/2019,2019,6,2544350,14.749385773,253
11/9/2019,2019,7,1908805,14.46198795,254
11/10/2019,2019,1,2356349,14.672623945,255
11/11/2019,2019,2,2465392,14.717861379,256
11/12/2019,2019,3,2150003,14.580979795,257
11/13/2019,2019,4,2072207,14.544124781,258
11/14/2019,2019,5,2364920,14.676254753,259
11/15/2019,2019,6,2437211,14.706364911,260
11/16/2019,2019,7,1807230,14.407305844,261
11/17/2019,2019,1,2396681,14.689595422,262
11/18/2019,2019,2,2298856,14.647922166,263
11/19/2019,2019,3,1900895,14.457835386,264
11/20/2019,2019,4,2071631,14.543846778,265
11/21/2019,2019,5,2428095,14.702617557,266
11/22/2019,2019,6,2550459,14.751783901,267
11/23/2019,2019,7,2194291,14.601369545,268
11/24/2019,2019,1,2321546,14.657743901,269
11/25/2019,2019,2,2254188,14.628300377,270
11/26/2019,2019,3,2435170,14.705527127,271
11/27/2019,2019,4,2624250,14.780305699,272
11/28/2019,2019,5,1591158,14.279972611,273
11/29/2019,2019,6,1968137,14.492597968,274
11/30/2019,2019,7,2648268,14.789416399,275
12/1/2019,2019,1,2882915,14.874312493,276
12/2/2019,2019,2,2591470,14.76773584,277
12/3/2019,2019,3,2280403,14.63986274,278
12/4/2019,2019,4,2054380,14.535484657,279
12/5/2019,2019,5,2262878,14.632148012,280
12/6/2019,2019,6,2278205,14.63889841,281
12/7/2019,2019,7,1755801,14.378435721,282
12/8/2019,2019,1,2292079,14.644969824,283
12/9/2019,2019,2,2226290,14.615847081,284
12/10/2019,2019,3,1897051,14.455811133,285
12/11/2019,2019,4,2020488,14.518849624,286
12/12/2019,2019,5,2362310,14.675150512,287
12/13/2019,2019,6,2388029,14.685978897,288
12/14/2019,2019,7,1893871,14.454133441,289
12/15/2019,2019,1,2300248,14.648527501,290
12/16/2019,2019,2,2250386,14.626612315,291
12/17/2019,2019,3,2009112,14.513203391,292
12/18/2019,2019,4,2234374,14.619471657,293
12/19/2019,2019,5,2471408,14.720298587,294
12/20/2019,2019,6,2608088,14.774127944,295
12/21/2019,2019,7,2487987,14.726984508,296
12/22/2019,2019,1,2519399,14.739530939,297
12/23/2019,2019,2,2490503,14.727995256,298
12/24/2019,2019,3,1986433,14.501851126,299
12/25/2019,2019,4,1937235,14.476772257,300
12/26/2019,2019,5,2552194,14.752463939,301
12/27/2019,2019,6,2582580,14.764299457,302
12/28/2019,2019,7,2470786,14.720046877,303
12/29/2019,2019,1,2575985,14.761742543,304
12/30/2019,2019,2,2500396,14.731959677,305
12/31/2019,2019,3,2009880,14.513585577,306
1/1/2020,2020,4,2133253,14.573158603,307
1/2/2020,2020,5,2392331,14.687778762,308
1/3/2020,2020,6,2311732,14.653507585,309
1/4/2020,2020,7,2178656,14.594218731,310
1/5/2020,2020,1,2422272,14.700216501,311
1/6/2020,2020,2,2210542,14.608748292,312
1/7/2020,2020,3,1806480,14.406890758,313
1/8/2020,2020,4,1815040,14.411618064,314
1/9/2020,2020,5,2034472,14.525746884,315
1/10/2020,2020,6,2072543,14.544286914,316
1/11/2020,2020,7,1687974,14.339039551,317
1/12/2020,2020,1,2183734,14.596546814,318
1/13/2020,2020,2,1992453,14.504877101,319
1/14/2020,2020,3,1691205,14.340951851,320
1/15/2020,2020,4,1876872,14.445117119,321
1/16/2020,2020,5,2242656,14.623171436,322
1/17/2020,2020,6,2347075,14.66868043,323
1/18/2020,2020,7,1781893,14.39318684,324
1/19/2020,2020,1,2000260,14.50878773,325
1/20/2020,2020,2,2298616,14.647817761,326
1/21/2020,2020,3,1870459,14.441694413,327
1/22/2020,2020,4,1801444,14.404099123,328
1/23/2020,2020,5,2100401,14.557638837,329
1/24/2020,2020,6,2145063,14.578679481,330
1/25/2020,2020,7,1645196,14.313370084,331
1/26/2020,2020,1,2136584,14.57471885,332
1/27/2020,2020,2,2004609,14.510959587,333
1/28/2020,2020,3,1643435,14.312299122,334
1/29/2020,2020,4,1777171,14.390533332,335
1/30/2020,2020,5,2085468,14.550503848,336
1/31/2020,2020,6,2159047,14.585177479,337
2/1/2020,2020,7,1658886,14.321656851,338
2/2/2020,2020,1,1948138,14.482384603,339
2/3/2020,2020,2,2054725,14.535652577,340
2/4/2020,2020,3,1677798,14.332992777,341
2/5/2020,2020,4,1843877,14.427380978,342
2/6/2020,2020,5,2167857,14.58924968,343
2/7/2020,2020,6,2271551,14.635973416,344
2/8/2020,2020,7,1770241,14.386626253,345
2/9/2020,2020,1,2224826,14.615189268,346
2/10/2020,2020,2,2164951,14.587908286,347
2/11/2020,2020,3,1814047,14.411070819,348
2/12/2020,2020,4,2038375,14.52766348,349
2/13/2020,2020,5,2415185,14.697286447,350
2/14/2020,2020,6,2507588,14.734831893,351
2/15/2020,2020,7,1972248,14.494684567,352
2/16/2020,2020,1,2198657,14.603357277,353
2/17/2020,2020,2,2494922,14.729768024,354
2/18/2020,2020,3,2190300,14.599549079,355
2/19/2020,2020,4,2129862,14.571567747,356
2/20/2020,2020,5,2358511,14.673541046,357
2/21/2020,2020,6,2429489,14.703191505,358
2/22/2020,2020,7,1951535,14.4841268,359
2/23/2020,2020,1,2380359,14.682761875,360
2/24/2020,2020,2,2267382,14.63413642,361
2/25/2020,2020,3,1919803,14.467733135,362
2/26/2020,2020,4,2075554,14.545738664,363
2/27/2020,2020,5,2364727,14.67617314,364
2/28/2020,2020,6,2441643,14.708181731,365
2/29/2020,2020,7,1949696,14.483184021,366
3/1/2020,2020,1,2353150,14.671265414,367
3/2/2020,2020,2,2089641,14.552502839,368
