Year,Month,Sales,logSales,c348,s348,c432,s432,Dynamic
1996,6,3538,8.1713168747,0.2608415063,-0.965381639,-0.470703932,0.8822912264,0
1996,7,3571,8.1806009476,0.6374239897,0.7705132428,0.0627905195,-0.998026728,0
1996,8,3511,8.1636561762,-0.9971589,0.0753268055,0.3564118787,0.9343289425,0
1996,9,3221,8.0774471493,0.5144395338,-0.857526656,-0.711535677,-0.70264997,0
1996,10,3526,8.167919363,0.4029064357,0.9152411726,0.9387338577,0.3446429232,0
1996,11,3262,8.0900957832,-0.979855052,-0.199709981,-0.9971589,0.0753268055,0
1996,12,3006,8.0083655703,0.7289686274,-0.684547106,0.87630668,-0.481753674,0
1997,1,3377,8.1247430204,0.1377902907,0.9904614257,-0.597904983,0.8015669849,0
1997,2,3834,8.2516639236,-0.888136449,-0.459579861,0.2120071099,-0.977268124,0
1997,3,4089,8.3160557204,0.8881364488,-0.459579861,0.2120071099,0.9772681236,0
1997,4,4115,8.3223941131,-0.137790291,0.9904614257,-0.597904983,-0.801566985,0
1997,5,4022,8.2995345703,-0.728968627,-0.684547106,0.87630668,0.4817536741,0
1997,6,4088,8.3158111319,0.9798550524,-0.199709981,-0.9971589,-0.075326806,0
1997,7,4066,8.3104149942,-0.402906436,0.9152411726,0.9387338577,-0.344642923,0
1997,8,3864,8.2594581953,-0.514439534,-0.857526656,-0.711535677,0.7026499698,0
1997,9,3741,8.2271082343,0.9971589003,0.0753268055,0.3564118787,-0.934328942,0
1997,10,3822,8.2485291248,-0.63742399,0.7705132428,0.0627905195,0.9980267284,0
1997,11,3294,8.0998579107,-0.260841506,-0.965381639,-0.470703932,-0.882291226,0
1997,12,3374,8.1238542631,0.9387338577,0.3446429232,0.7939903986,0.6079302977,0
1998,1,3681,8.2109397334,-0.823532598,0.5672689491,-0.974526873,-0.224270761,0
1998,2,4154,8.3318270044,0.0125660399,-0.999921044,0.9798550524,-0.199709981,0
1998,3,4523,8.4169307695,0.8090169944,0.5877852523,-0.809016994,0.5877852523,0
1998,4,4400,8.3893598199,-0.947098305,0.3209436098,0.4927273415,-0.870183755,0
1998,5,4356,8.3793094841,0.2850192625,-0.958521789,-0.087851197,0.9961336091,0
1998,6,4723,8.4601994699,0.6178596131,0.7862884321,-0.332819545,-0.942990536,0
1998,7,4535,8.4195803625,-0.998736957,0.0502443182,0.6936533058,0.7203090249,0
1998,8,4476,8.4064850694,0.535826795,-0.844327926,-0.929776486,-0.368124553,0
1998,9,4138,8.3279678583,0.3797790955,0.9250772068,0.9987369566,-0.050244318,0
1998,10,4535,8.4195803625,-0.974526873,-0.224270761,-0.888136449,0.4595798606,0
1998,11,3730,8.2241635126,0.7459411454,-0.666011867,0.6178596131,-0.786288432,0
1998,12,3691,8.213652703,0.1128563849,0.9936113105,-0.236498997,0.9716317329,0
1999,1,4115,8.3223941131,-0.87630668,-0.481753674,-0.187381315,-0.982287251,0
1999,2,4597,8.4331591958,0.8994052516,-0.437115767,0.5775727034,0.8163392507,0
1999,3,4921,8.5012670409,-0.162637165,0.9866859442,-0.863923417,-0.503623202,0
1999,4,4824,8.4813587384,-0.711535677,-0.70264997,0.994951017,0.1003617149,0
1999,5,4950,8.5071428556,0.9845643345,-0.175023059,-0.947098305,0.3209436098,0
1999,6,5047,8.5265492863,-0.425779292,0.9048270525,0.7289686274,-0.684547106,0
1999,7,4895,8.495969555,-0.492727342,-0.870183755,-0.379779096,0.9250772068,0
1999,8,4892,8.4953564968,0.994951017,0.1003617149,-0.037690183,-0.999289473,0
1999,9,4509,8.4138306784,-0.656585756,0.7542513807,0.4483832161,0.8938414242,0
1999,10,4516,8.4153819253,-0.236498997,-0.971631733,-0.778462302,-0.627691361,0
1999,11,4292,8.3645081038,0.9297764859,0.3681245527,0.9685831611,0.2486898872,0
1999,12,4095,8.3175219963,-0.83752804,0.5463943467,-0.984564335,0.175023059,0
