sales,time,month,logsales,obs96,c1,s1,c2,s2,c3,s3,c4,s4,c5,s5,c6,wtgrant
1069,60,12,6.97447891,0,1,-4.8e-15,1,-9.6e-15,1,-1.1e-14,1,-1.9e-14,1,9.82e-16,1,0
393,61,1,5.97380961,0,0.866025,0.5,0.5,0.866025,1.96e-15,1,-0.5,0.866025,-0.86603,0.5,-1,0
425,62,2,6.05208917,0,0.5,0.866025,-0.5,0.866025,-1,7.35e-15,-0.5,-0.86603,0.5,-0.86603,1,0
503,63,3,6.22059017,0,-4.9e-16,1,-1,-9.8e-16,1.47e-15,-1,1,1.96e-15,-2.5e-15,1,-1,0
529,64,4,6.27098843,0,-0.5,0.866025,-0.5,-0.86603,1,-3.9e-15,-0.5,0.866025,-0.5,-0.86603,1,0
581,65,5,6.36475076,0,-0.86603,0.5,0.5,-0.86603,9.31e-15,1,-0.5,-0.86603,0.866025,0.5,-1,0
558,66,6,6.32435896,0,-1,-2.2e-15,1,4.41e-15,-1,4.88e-16,1,8.82e-15,-1,-3.9e-15,1,0
547,67,7,6.3044488,0,-0.86603,-0.5,0.5,0.866025,-5.9e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,0
588,68,8,6.37672695,0,-0.5,-0.86603,-0.5,0.866025,1,2.94e-15,-0.5,-0.86603,-0.5,0.866025,1,0
549,69,9,6.30809844,0,-3.2e-15,-1,-1,6.37e-15,2.45e-15,1,1,-1.3e-14,5.39e-15,-1,-1,0
593,70,10,6.3851944,0,0.5,-0.86603,-0.5,-0.86603,-1,7.84e-15,-0.5,0.866025,0.5,0.866025,1,0
649,71,11,6.47543272,0,0.866025,-0.5,0.5,-0.86603,9.82e-16,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
1191,72,12,7.08254857,0,1,-1.5e-15,1,-2.9e-15,1,-4.4e-15,1,-5.9e-15,1,6.86e-15,1,0
463,73,1,6.13772705,0,0.866025,0.5,0.5,0.866025,9.8e-15,1,-0.5,0.866025,-0.86603,0.5,-1,0
459,74,2,6.12905021,0,0.5,0.866025,-0.5,0.866025,-1,9.78e-16,-0.5,-0.86603,0.5,-0.86603,1,0
